question,option0,option1,option2,option3,correctAnswer,level,audio
අටදෙනෙක් සහභාගී වූ ධාවන තරඟයක අන්තිමයාට ස්ථාන හයක් ඉදිරියෙන් තරඟය අවසන් කළ තරඟකරුට හිමිවන්නේ කුමක් ද?,රන් පදක්කමක්,රිදී පදක්කමක්,ලෝකඩ පදක්කමක්,පදක්කමක් හිමි නොවේ,1,3,
වර්තමානයේදී වැඩිම වටිනාකමක් ඇත්තේ මින් කුමකට විය හැකි ද?,බිට්කොයින් 1ක්,ස්ටර්ලින් පවුම් 10ක්,ඉන්දියානු රුපියල් 100ක්,ඇමරිකානු ඩොලර් 1000ක්,0,4,
"""මම් කෙසේ පවසම් එසේ වර - සුර ළඳුන් දුන් රඟ සොබා..."" මෙම කවි පද රචනා වන්නේ කාගේ දෘෂ්ටි කෝණයකින් ද?",වීණා වයන මූසිලගේ,බ්‍රහ්මදත්ත රජුගේ,ගුත්තිල කතුවරයාගේ,ශක්‍ර දේවේන්ද්‍රයාගේ,2,5,
"ලසිත් මාලිංග යැවු නිපන්දුවක් හමුවේ සචින් තෙන්ඩුල්කාර් දැවීගියේ නම්,ඒ මින් කුමක් නිසා විය හැකි ද?",පන්දුව කඩුල්ලේ වැදීම නිසා,කඩුලූ රකින්නා උඩපන්දුවක් ලබාගත් නිසා,පන්දුව පා ආවරණයේ වැදීම නිසා,පිතිකරු දුවද්දී දැවීයාමකට හසුකරගත් නිසා,3,6,
1982 ජනමත විචාරණය පැවැත්වුයේ කවරක් අරමුණු කරගෙන ද?,ජනාධිපති ධුර කාලය 1989 දක්වා දීර්ඝ කිරිමට,ව්‍යවස්ථාදාකයේ හා විධායකයේ ධුර කාලය 1989 දක්වා දිර්ඝ කිරිමට,පාර්ලිමේන්තු ධුර කාලය 1989 දක්වා දිර්ඝ කිරිමට,1989 දක්වා මැතිවරණයක් නොපැවැත්වීමට,2,7,
"""සමන් වැලේ මල් ජයට පිපීලා මුළු මිදුල මැ සුවඳයි"" මේ සුවඳ හමන මල් මොන පාට ද?",සුදු පාට,රතු පාට,කහ පාට,නිල් පාට,0,1,
"""අම්මා මුව මදහස් පෑවා ය"" මෙහි මුව යනු කුමක් ද?",ගත,සිත,වත,කත,2,2,
ටොට්ටො' චං සමඟ හරි පුදුම ඉස්කො'ලේ යන්නට නම්?,රුසියාවට යා යුතුයි,ජපානයට යා යුතුයි,චීනයට යා යුතුයි,දකුණු කොරියාවට යා යුතුයි,1,3,
මේ අතරින් සිදුවිය නොහැක්කේ කුමක් ද?,අයිස් ජලය මත පාවෙයි,පොල්තෙල් ජලය මත පාවෙයි,මී පැණි ජලය මත පාවෙයි,භූමිතෙල් ජලය මත පාවෙයි,2,4,
ඔබට ඇසෙන්නේ කුමක් ද?,අඬහැරයක කවියක්,නෙළුම් කවියක්,කුරහන් කවියක්,කරත්ත කවියක්,0,5,10_50_8.mp3
රබීන්ද්‍රනාත් තාගො'ර් පිළිබඳ වැරදි ප්‍රකාශය කුමක් ද?,1913 දී සාහිත්‍යට හිමි නොබෙල් ත්‍යාගය දිනීය,"ඔහු ගීත රචකයෙක්,කවියෙක්,සංගීතඥයෙක් සහ චිත්‍ර ශිල්පියෙකි",බංගලාදේශ ජාතික ගීයේ නිර්මාතෘවරයාය,ඔහු භාත්කණ්ඩේ විශ්වවිද්‍යාලයේ ආරම්භකයාය,3,6,
බිත්තර මඟින් පැටව් බිහිකරන සත්ත්වයෙකු වන්නේ කවු ද?,හුනා,ලේනා,මීයා,ගෝනා,0,1,
අවුරුදු දශක විස්සක් ගෙවී ගියේ නම් ගෙවුණු මුළු කාලය කොපමණ ද?,ශතකයයි,ශතක දෙකයි,ශතක තුනයි,ශතක හතරයි,1,2,
ගමරාලට යකෙක් කන්න බඩගිනි වෙන්නේ කවර නාට්‍යයක ද?,පරාස්ස,බෙරහඬ,රත්තරං,එලොව ගිහින් මෙලොව ආවා,0,3,
මේ අතරින් සිදුවිය නොහැක්කේ කුමක් ද?,විදුලි කොටන විට ශබ්දය ඇසෙන්නට පෙර ආලෝකය පෙනීම,අව්වේ සිටින විට ඉක්මනින් රත්වෙන්නේ හිසය,හිරු සිටින දිශාවේ දේදුනු දැකගත හැකි වේ,මාළු ටැංකියේ ඇති හයිඩ්‍රිල්ලා වායු බුබුළු පිට කරයි,2,4,
"පියානෝව තුළ මකරෙකු සිටිනවා යැයි, තම සිසුන්ට පැවසු ප්‍රින්සිපල් සර් අපට හමුවෙන්නේ කොහේදී ද?",තාල චිත්‍රපටයේ,හෝ ගානා පොකුණ චිත්‍රපටයේ,වෙඩි නොවදින ළමයි චිත්‍රපටයේ,ගෝල් චිත්‍රපටයේ,1,5,
මේ අතරින් පුද්ගලයා හා රට නොගැළපෙන්නේ කවරක ද?,ඉතාලියේ ලියනාඩෝ ඩාවින්චි,ඉතාලියේ රෆායල් සාන්සියෝ,ඉතාලියේ මයිකල් ඇන්ජලෝ,ඉතාලියේ රෆායල් නඩාල්,3,6,
කන්දරෝඩෙයි නොහොත් කඳූරුගොඩ විහාරය පිහිටා ඇත්තේ කොහේ ද?,ත්‍රිකුණාමලය,යාපනය,අනුරාධපුරය,පොළොන්නරුව‍,1,7,
මුලින්ම ගල් ආයුධ භාවිත කළේ කවු ද?,හෝමෝ හැබිලිස්,හෝමෝ ඉරෙක්ටස්,හෝමෝ නියැන්ඩර්තාල්,හෝමෝ සේපියන්,0,8,
"ජාත්‍යන්තර එක්දින ක්‍රිකට් පිටියේ පිට පිට තරඟ 3කදී, කඩුළු 5 බැඟින් දවාගත් ලොව පළමු දඟපන්දුයවන්නා කවු ද?",ධනංජය ද සිල්වා,වනිදු හසරංග,මහීෂ් තීක්ෂණ,දිල්රුවන් පෙරේරා,1,9,
මේ අතරින් නොගැළපෙන නම කුමක් ද?,දොන් ජුවන්,කොනප්පු බණ්ඩාර,පළමුවන විමලධර්මසුරිය,දොන් පිලිප්,3,10,
"Frank Poole නම් අජටාකාශගාමියා හැල් 9000 නම්, කෘතිම බුද්ධිය සමඟ සෙනසුරු බලා පිටත් වන්නේ මින් කුමන කෘතියක ද?",2001,2010,2061,3001,0,11,
අත්ලාන්තික් සාගරයට මායිම් නොවන රට කුමක් ද?,ප්‍රංශය,එංගලන්තය,ඇමරිකා එක්සත් ජනපදය,නවසීලන්තය,3,12,
මේ අතරින් ජන කවියකින් සෑදුණු ගීයක් නොවන්නේ කුමක් ද?,සකිය සගව්වට රෝදය කැරකෙනවා,කැළේ ගහක මල් පිපිලා,පිලේ පැදුර හේනට අරගෙන යනවා,දොඩම් කපාලා ඇඹුල් තනාලා,1,13,
මේ අතරින් තමන්ට හිමි වූ නොබෙල් සාහිත්‍ය සම්මානය ප්‍රතික්ෂේප කළේ කවු ද?,අර්නස්ට් හෙමිංවේ,ජීන් පොල් සාත්‍රෙ',ඇල්බෙයා කැමූ,පීටර් හැන්ඩ්කේ,1,14,
"සිංහරාජ වැසි වනාන්තරය,",බස්නාහිර පළාතට මායිම් නොවේ,දකුණු පළාතට මායිම් නොවේ,මධ්‍යම පළාතට මායිම් නොවේ,සබරගමුව පළාතට මායිම් නොවේ,2,14,
ජන කතාවට අනුව ගමරාළ දිව්‍ය ලෝකයට ගියේ මින් කුමක් අල්ලා ගෙන ද?ජන කතාවට අනුව ගමරාළ දිව්‍ය ලෝකයට ගියේ මින් කුමක් අල්ලා ගෙන ද?,කොටි වලිග‍යක්,මඩු වලිගයක්,අලි වලිගයක්,ඉබි වලිගයක්,2,1,
මේ අතරින් ඔබේ ළඟම ඥාතියා වන්නේ කවුද?,අත්තා,මුත්තා,පනත්තා,සෝලියා,0,2,
මෙයින් නොගැළපෙන්නේ කවු ද?,අජාසත්ත,සිංහබාහු,යසලාලක තිස්ස,අශෝක,2,3,
බල්ලාට කී වැඩේ බල්ලා නැවත කිව්වේ මේ අතරින් කාට ද?,අශ්වයාට,බුරුවාට,බැටලුවාට,කොටලූවාට,1,1,
රථ ගාලක නවතා තිබු වාහනවල රෝද ගණන පනස් හයකි. රථ ගාලේ නවතා තිබුණේ එකම වාහන වර්ගයක් නම් නවතා තිබු වාහන වර්ගයක් විය නොහැක්කේ මින් කුමක් ද?,කාර් රථ,ලොරි රථ,ත්‍රීරෝද රථ,යතුරු පැදි,2,2,
මේ අතරින් ඉදිබුවෙකු අදාල නොවන්නේ කුමන අවස්ථාවට ද?,අයියා ඉබි ගමනින් ආවේය,අයියා ඉබ්බෙකු ගෙනාවේය,අයියා ඉබ්බෙකු කාමරයට දැම්මේය,අයියා ඉබ්බෙකු සමඟ දිව්වේය,0,3,
මේ අතරින් ඉල්ලමකින් හාරාගත නොහැක්කේ කුමක් ද?,කහ තරිප්පු,තෝරමල්ලි,ලොසිංජර,පුෂ්පරාග,2,1,
ඉරුම් පට්ටලයකට නැගි වඳුරා ගැලවුයේ කුමක් ද?,කෙවිට,කරුව,කූඤ්ඤය,කෙක්ක,2,2,
මේ අතරින් කටු නොදරන ශ‍ාකය කුමක් ද,එරමිණියා,නියඟලා,දෙහි,දලුක්,1,3,
"“පය බරවයට පිටිකර බෙහෙත් බැන්දා සේ"" මෙහි කියන පරිදි බෙහෙත් බැද ඇත්තේ කොතැන ද?",උරහිසේ,වැලමිටේ,වළලුකරේ,දණහිසේ,0,4,
"මේ අතරින් දේශීය ස්වතන්ත්‍ර තනු නිර්මාණයක් වන්නේ කුමක් ද? 

A. අඬන්නෙ ඇයි සුදු මැණිකේ 
B. නින්ද නේන රාත්‍රියේ 
C. පාට පොදක් තිලකලා 
D. සීත මෝසම් ගීත නාදෙන්",අඬන්නෙ ඇයි සුදු මැණිකේ,නින්ද නේන රාත්‍රියේ,පාට පොදක් තිලකලා,සීත මෝසම් ගීත නාදෙන්,3,5,
දොන්ත බබක්කට සමාන වන්නේ මින් කුමක් ද?,ඇවිද්ද පය දහස් වටී,පෙරලෙන ගලේ පාසි නොබැදේ,රන් රඹුටන් ගස් දෙකයි,යුද්ධෙට නැති කඩුව කොස් කොටන්න ද?,2,1,
කරමලක් නොදරන්නේ කවුද?,තෝරා,මෝරා,මඩුවා,තල්මසා,3,2,
මෑතකදීම එළිදැක්වූ සමාජ මාධ්‍ය ජාලය කුමක් ද? [2023],ස්නැප්චැට්,ත්‍රෙඩ්ස්,ඉන්ස්ටග්‍රෑම්,ටික්ටොක්,1,3,
පැණි හැලියට වැටුණු,ඇඹලයා වගේ,තලගොයා වගේ,දිමියා වගේ,උගුඩුවා වගේ,0,1,
හෙණ හඬටත් බිය නොවන්නේ,රජ ගෙදර බල්ලා,කම්මලේ බල්ලා,සල්පිලේ බල්ලා,පැල්පතේ බල්ලා,1,2,
"මිලි යනු,",10-Jan,1/100,1/1000,1/10000,2,3,
"බැට් මෑන්ගේ සතුරෙක් නොවන්නේ,",ජෝකර්,රිඩ්ලර්,ග්‍රීන් ගොබ්ලින්,මිස්ටර් ෆ්රීස්,2,4,
මහාචාර්ය සනත් නන්දසිරි ගායනා කළ ආචාර්ය ප්‍රේමසිරි කේමදාස සංගීතවත් කළ ගීතය මින් කුමක් ද?,සීත රෑ යාමේ අඳුරේ,දේදුන්නේ පාට පාටින්,ඇවිලුණු ගිනි දැල්,ඇවිලුණු ගිනි දැල්,0,5,
මේ අතරින් කාමර උෂ්ණත්වයේදී ද්‍රව අවස්ථාවේ පවතින්නේ කවර මූලද්‍රව්‍ය ද?,ආගන්,බ්‍රෝමීන්,ක්ලොරීන්,අයඩින්,1,6,
හෙණ ගෙඩියක් පාත් වූ විට සිදු විය නොහැක්කේ මින් කුමක් ද?,දවල් තරු පෙනෙයි,අන්ද මන්ද වෙයි,ඉහේ මලක් පිපෙයි,අන්දුන් කුන්දුන් වෙයි,2,1,
බෝලයකින් ගොලයක් ලබාගැනීමට නම්?,ක්‍රිකට් ක්‍රීඩා කළ යුතුය,පාපන්දු ක්‍රීඩා කළ යුතුය,වොලිබෝල් ක්‍රීඩා කළ යුතුය,බේස්බෝ'ල් ක්‍රීඩා කළ යුතුය,1,2,
සත්ත්වයින් පංති අනුව වෙන්කරන විට මී මැස්සාගේ පංතියට වැටෙන්නේ කිනම් සාමාජිකයින් ද?,කකුළුවා සහ ඉස්සා,හැකරැල්ලා සහ පත්තෑයා,මදුරුවා සහ කූඹියා,ගොනුස්සා සහ මකුළුවා,2,3,
ෂර්ලොක් හෝම්ස් නම් රහස් පරීක්ෂකයා ප්‍රථම වරට පාඨකයන් හමුවන්නේ මින් කුමන පරිවර්තනයක් තුලින් ද?,ලෝහිත පරීක්ෂණය,ඉන්ද්‍රනීල මාණික්‍ය,සිව් රහස් සලකුණ,බැස්කවිල්හි රුදුරු බල්ලා,0,4,
"""The Caucasian Chalk Circle"" කාගේ නිර්මාණයක් ද?",සැමුවෙල් බෙකට්,බර්ටෝල්ට් බ්‍රෙෂ්ට්,දෙවන ජොර්ජ් ආදිපාදවරයා,විලියම් ශේක්ස්පියර්,1,5,
"ගම්භිර කාලිංග නුවර නිරිඳුගෙ වාසල පුරයට - ඉන්න දනා සේම රජුට සෝදා පටපිළී සොඳට"" මෙසේ කියන්නේ කවු ද?",මුදලිතුමා,ජසයා,ලෙන්චිනා,හෙන්චප්පු,1,6,
මේ අතරින් 1594 දී කන්ද උඩරට ආක්‍රමණය කළ පෘතුගීසි අණදෙන නිලධාරියා වූයේ කවු ද?,පෙද්‍රෝ ලෝපේස් ද සූසා,ෆ්‍රැන්සිස්කෝ ද සිල්වා,පෙද්‍රෝ හෝමම් පෙරේරා,දොන් ජෙරනිමෝ ද අසවේදු,0,7,
වික්ටොරියා ජලාශය පිළිබඳ වැරදි ප්‍රකාශය කුමක් ද?,1985 විවෘත කෙරිණි,දෙවන එළිසබෙත් රැජිණ විසින් විවෘත කෙරිණි,කඩිනම් මහවැලි ව්‍යාපාරයේ දෙවැනියට විවෘත වූ ජලාශයයි.,තෙල්දෙණිය නගරය ජලාශයට යටවිය,1,8,
මේ අතරින් නොගැළපෙන්නේ කුමක් ද?,කොරල්පර,වැලිපර,ගොඩපර,ගල්පර,2,1,
"තල රූප දෙකක ඇති අභ්‍යන්තර කෝණ සියල්ලේම ඵකතුව අංශක 720ක් නම්, ඵ් රූප දෙක විය හැක්කේ මින් කුමක් ද?",ත්‍රිකෝණයක් හා ත්‍රිකෝණයක්,ත්‍රිකෝණයක් හා සමචතුරස්‍රයක්,සමචතූරස්‍රයක් හා සෘජුකෝණාස්‍රයක්,සෘජුකෝණාස්‍රයක් හා ත්‍රිකෝණයක්,2,2,
"ගඟට කපන ඉනි ගඟ දිය රැගෙන යයි නම්, මෙම ඉනි පිළිබඳ වැරදි ප්‍රකාශය කුමක් ද?",ත්‍රිකුණාමලයෙන් මුහුදට වැටේ,මැදිරිගිරියෙන් මුහුදට වැටේ,හලාවතින් මුහුදට වැටේ,මාතරින් මුහුදට වැටේ,1,3,
ගොනුන් යොදාගන්නේ මින් කුමක් ක්‍රියා කරවීමට ද?,දඹරය,සකපොරුව,මයිනහම,සෙක්කුව,3,4,
මේ අතරින් අසත්‍ය වන්නේ කුමක් ද?,සිංහබාහුගේ පුතා ලංකාවේ රජ විය,විජයගේ පුතා ලංකාවේ රජ විය,පඬුවස්දෙව්ගේ පුතා ලංකාවේ රජ විය,පණ්ඩුකාභයගේ පුතා ලංකාවේ රජ විය,1,5,
"""සැඟවුණු රස මදිරා තූඩ ගාවා - පෙම් මකරන්දය මුලු අත නාවා"" මෙහි කියවෙන ""මකරන්දය"" කුමක් ද?",මල් පැණි,මී මැස්සෙක්,සමනලයෙක්,මල් පෙත්තක්,0,6,
මහවැලි ගඟ ගලා නොබසින්නේ මේ අතරින් කුමන ජාතික වනෝද්‍යානය හරහා ද?,ජල ගැලුම් නිම්නය,වස්ගමුව,සෝමාවතිය,උඩවලව,3,7,
"හවායි දූපත් වර්තමානයේ දී,",ස්වාධීන රාජ්‍යකි,ඇමරිකාවේ ප්‍රාන්තයකි,බ්‍රිතාන්‍යයේ යටත් විජිතයකි,දකුණු ඇමරිකාවේ කොටසකි,1,8,
වෑවර ගෙඩියක් කඩාගැනිමට නම් ඔබට නගින්නට වෙන්නේ කිනම් ගසකට ද?,කොස් ගසකට,තල් ගසකට,පොල් ගසකට,කිතූල් ගසකට,2,1,
"""ඉග්ලූ"" නිවසක ගෘහ මූලිකයා වන්නේ කවු ද?",රතු ඉන්දියානුවෙක්,ඇබර්ජීන්වරයෙක්,ඉන්කාවරයෙක්,ඵස්කිමෝවරයෙක්,3,2,
"""විලිකුන් සුරත් පල වැනි වේ රිවි මඩල"" මෙහි ""විලිකුන්"" යනු,",ඉදුණු,වියැළුණු,විශාලවුණු,කුඩාවුණු,0,3,
නා ගස ගැන වැරදි ප්‍රකාශය කුමක් ද?,ලංකාවට ආවේණික ශාකයකි,සුදු සහ කහ පැහැනි පස් පෙති මලක් දරයි,පත්‍ර කොළ පාට වූවද යටි පැත්ත සුදු පැහැතිවේ,1986 දී ලංකාවේ ජාතික වෘක්ෂය බවට නම් කෙරේ,1,4,
මේ අය අතරින් ගාල්ල ප්‍රදේශයේ උපත ලැබූ පුද්ගලයෙක් නොවන්නේ කවුද ?,සෙනරත් පරණවිතාන,එදිරිවීර සරච්චන්ද්‍ර,මාර්ටින් වික්‍රමසිංහ,සයිමන් නවගත්තේගම,3,5,
විදේශ පරිත්‍යාගයක් ලෙස මෙරටට හිමිවූ හස්තියෙකු නොවන්නේ මින් කවු ද?,කාවේරි රාජා,විජය රාජා,සිංහ රාජා,මුතු රාජා,2,6,
අළු බඳුන ක්‍රිකට් තරගාවලියේදී ප්‍රතිවාදීන් වන්නේ මින් කුමන කණ්ඩායම් යුගලය ද?,ඕස්ට්‍රේලියාව සහ එංගලන්තය,එංගලන්තය සහ නවසීලන්තය,නවසීලන්තය සහ දකුණු අප්‍රිකාව,දකුණු අප්‍රිකාව සහ ඕස්ට්‍රේලියාව,0,7,
මේ අතරින් වැරදි ප්‍රකාශය කුමක් ද?,මානාභරණ රජුගේ බිසව රත්නාවලී ය,මානාභරණගේ සොහොයුරා කිත්ති ශ්‍රී මේඝ ය,ශ්‍රී වල්ලභගේ දියණිය ලීලාවතී ය,පළමු පරාක්‍රමබාහුගේ පුතා දෙවන විජයබාහු ය,3,8,
මූන්ස්ටෝන් සංගීත කණ්ඩායමේ ආරම්භක සාමාජිකයෙක් වන්නේ කවු ද?,ස්ටැන්ලි පීරිස්,ක්ලැරන්ස් විජේවර්ධන,නොයෙල් රණසිංහ,අර්නස්ට් සොයිසා,1,9,
මුලින්ම පෘථිවියේ සිට සඳට දුරකථනයකින් කතා කළ ජනාධිපතිවරයා කවු ද?,ජොන් එෆ් කෙනඩි,රිචඩ් නික්සන්,ජෙරල්ඩ් ‍ෆෝඩ්,ජිමී කාටර්,1,10,
ඔබ සතුව ඇති A1 ප්‍රමාණයේ කඩදාසියකින් A4 ප්‍රමාණයේ කඩදාසි කීයක් කපාගත හැකි ද?,දෙකක්,හතරක්,අටක්,දාසයක්,2,11,
රොබට් නොක්ස්ට අනුව ගොවියා රජකමට සුදුසු වන්නේ කවරකට පසුව ද?,මඩ සෝදාගත් පසුව,බොරු කීවාට පසුව,ඡන්දය ඉල්ලූ පසුව,ණය ගෙවූ පසුව,0,1,
"ඉංග්‍රීසි වචනයක් ඉදිරියෙන් An ලෙස නොයෙදෙන්නේ නම්, එම වචනය විය හැක්කේ කුමක් ද?",ALLIGATOR,ELEPHANT,OSTRICH,TIGER,3,2,
රෝම ඉලක්කම් සහිත ඔරලෝසු මුහුණතක තිබිය හැකි X අකුරු ගණන කීය ද?,2,3,4,5,2,3,
යුරෝපා රටක රාජ්‍ය නායකයෙක් ලෙස වර්තමානයේ කටයුතු නොකරන්නේ මින් කවු ද?,ව්ලැඩ්මිර් පුටින්,ඊශී සුනක්,එමානුවෙල් මැක්‍රොන්,ජො' බයිඩන්,3,4,
එඩ් ශීරන් ගායනා නොකරන ගීතයක් වන්නේ කුමක් ද?,GRAVITY,SHAPE OF YOU,PERFECT,EYES CLOSED,0,5,
ක්‍රිකට් ලෝක කුසලානයක් වෙනුවෙන් ශ්‍රී ලංකාව සමඟ අවසන් මහා තරඟයක් ක්‍රීඩා කළ රටක් නොවන්නේ මේ අතරින් කුමක් ද?,ඔස්ට්‍රේලියාව,ඉන්දියාව,එංගලන්තය,පකිස්තානය,2,6,
මේ අතරින් සත්‍ය වන්නේ කුමක් ද?,ආලෝකයේ වේගයට වඩා ශබ්දයේ වේගය වැඩි වේ,ආලොකය ජලයේදී වාතයට වඩා වේගවත්ව ගමන් කරයි,ශබ්දය තරංගයක් වුවද ආලෝකය තරංගයක් නොවේ,ශබ්දය ජලයේදී වාතයට වඩා වේගවත්ව ගමන් කරයි,3,7,
